,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2020-09-26,AAPL,USD,2020-10-30,2020-10-29 18:06:25,FY,57411000000,11056000000,-215000000.0,6829000000.0,-18780000000,6917000000.0,-127000000,-4062000000.0,38321000000,0.0,80674000000,-7309000000.0,-1524000000.0,-114938000000.0,0.0,0.0,-4289000000.0,-12629000000.0,880000000.0,-72358000000.0,-14081000000.0,0.0,-86820000000.0,0.0,-10435000000.0,39789000000.0,50224000000,80674000000,7309000000,73365000000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm
1,2019-09-28,AAPL,USD,2019-10-31 00:00:00,2019-10-30 18:12:36,FY,55256000000,12547000000,-340000000.0,6068000000.0,41691000000,245000000.0,-289000000,-1923000000.0,57101000000,5416000000.0,69391000000,-10495000000.0,-624000000.0,-107528000000.0,98724000000.0,65819000000.0,45896000000.0,-8805000000.0,781000000.0,-66116000000.0,-14119000000.0,-1936000000.0,-90976000000.0,0.0,24311000000.0,50224000000.0,25913000000,69391000000,-10495000000,58896000000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm
2,2018-09-29,AAPL,USD,2018-11-05 00:00:00,2018-11-05 08:01:40,FY,59531000000,10903000000,-32590000000.0,5340000000.0,-12421000000,-5322000000.0,828000000,9175000000.0,15410000000,4896000000.0,77434000000,-13313000000.0,-721000000.0,-74609000000.0,56234000000.0,48475000000.0,16066000000.0,-6500000000.0,669000000.0,-72069000000.0,-13712000000.0,4405000000.0,-87876000000.0,0.0,5624000000.0,25913000000.0,20289000000,77434000000,-13313000000,64121000000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm
3,2017-09-30,AAPL,USD,2017-11-03 00:00:00,2017-11-03 08:01:37,FY,48351000000,10157000000,5966000000.0,4840000000.0,-32000000,-2093000000.0,-2723000000,9618000000.0,27831000000,-166000000.0,63598000000,0.0,0.0,-159881000000.0,126339000000.0,220000000.0,0.0,-3500000000.0,555000000.0,-32900000000.0,-12769000000.0,-1247000000.0,0.0,0.0,-195000000.0,20289000000.0,20484000000,63598000000,-12795000000,50803000000,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.html,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm
4,2016-09-24,AAPL,USD,2016-10-26 00:00:00,2016-10-26 16:42:16,FY,45687000000,10505000000,4938000000.0,4210000000.0,19095000000,1095000000.0,217000000,1791000000.0,27863000000,4696000000.0,66231000000,-12734000000.0,-297000000.0,-31110000000.0,21258000000.0,-23094000000.0,-45977000000.0,-2500000000.0,495000000.0,-29227000000.0,-12150000000.0,23394000000.0,-20890000000.0,0.0,-636000000.0,20484000000.0,21120000000,66231000000,-12734000000,53497000000,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.html,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm
5,2015-09-26,AAPL,USD,2015-10-28 00:00:00,2015-10-28 16:31:09,FY,53394000000,11257000000,1382000000.0,3586000000.0,3685000000,611000000.0,-238000000,5400000000.0,8768000000,3586000000.0,81266000000,-11247000000.0,-343000000.0,-35253000000.0,14538000000.0,-23969000000.0,-56274000000.0,-1499000000.0,543000000.0,-34710000000.0,-11561000000.0,28555000000.0,-17716000000.0,0.0,7276000000.0,21120000000.0,13844000000,81266000000,-11488000000,69778000000,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm
6,2014-09-27,AAPL,USD,2014-10-27 00:00:00,2014-10-27 17:11:55,FY,39510000000,7946000000,2347000000.0,2863000000.0,-24545000000,-4232000000.0,-76000000,5938000000.0,5083000000,2863000000.0,59713000000,-9571000000.0,-3765000000.0,-45000000000.0,18810000000.0,16947000000.0,-22579000000.0,-1158000000.0,730000000.0,-44270000000.0,-11126000000.0,17847000000.0,-37549000000.0,0.0,-415000000.0,13844000000.0,14259000000,59713000000,-9813000000,49900000000,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm
7,2013-09-28,AAPL,USD,2013-10-30 00:00:00,2013-10-29 20:38:28,FY,37037000000,6757000000,1141000000.0,2253000000.0,10517000000,-2172000000.0,-973000000,2340000000.0,29628000000,2253000000.0,53666000000,-8165000000.0,-496000000.0,-22860000000.0,20317000000.0,-22570000000.0,-33774000000.0,-1082000000.0,530000000.0,-22330000000.0,-10564000000.0,16515000000.0,-16379000000.0,0.0,3513000000.0,14259000000.0,10746000000,53666000000,-9076000000,44590000000,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/0001193125-13-416534-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312513416534/d590790d10k.htm
8,2012-09-29,AAPL,USD,2012-10-31 00:00:00,2012-10-31 17:07:19,FY,41733000000,3277000000,4405000000.0,1740000000.0,2093000000,-5551000000.0,-15000000,4467000000.0,19111000000,1740000000.0,50856000000,-8295000000.0,-350000000.0,-151232000000.0,13035000000.0,-52617000000.0,-48227000000.0,-1226000000.0,665000000.0,665000000.0,-2488000000.0,10871000000.0,-1698000000.0,0.0,931000000.0,10746000000.0,9815000000,50856000000,-9402000000,41454000000,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/0001193125-12-444068-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312512444068/d411355d10k.htm
9,2011-09-24,AAPL,USD,2011-10-26 00:00:00,2011-10-26 16:35:25,FY,25922000000,1814000000,2868000000.0,1168000000.0,-3938000000,143000000.0,275000000,2515000000.0,17018000000,1168000000.0,37529000000,-4260000000.0,-244000000.0,-102317000000.0,20437000000.0,-56352000000.0,-40419000000.0,-520000000.0,831000000.0,831000000.0,0.0,10428000000.0,1444000000.0,0.0,-1446000000.0,9815000000.0,11261000000,37529000000,-7452000000,30077000000,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/0001193125-11-282113-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312511282113/d220209d10k.htm
10,2010-09-25,AAPL,USD,2010-10-27 00:00:00,2010-10-27 16:36:21,FY,14013000000,1027000000,1440000000.0,879000000.0,907000000,-2142000000.0,-596000000,6307000000.0,20956000000,903000000.0,18595000000,-2005000000.0,-638000000.0,-57811000000.0,46718000000.0,-118000000.0,-13854000000.0,-406000000.0,912000000.0,912000000.0,0.0,11606000000.0,1257000000.0,0.0,5998000000.0,11261000000.0,5263000000,18595000000,-2121000000,16474000000,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/0001193125-10-238044-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312510238044/d10k.htm
11,2009-09-26,AAPL,USD,2009-10-27 00:00:00,2009-10-27 16:18:29,FY,8235000000,734000000,1040000000.0,710000000.0,-549000000,-939000000.0,54000000,92000000.0,20049000000,736000000.0,10159000000,-1144000000.0,0.0,-46724000000.0,0.0,0.0,-17434000000.0,2997000000.0,475000000.0,475000000.0,0.0,0.0,663000000.0,0.0,-6612000000.0,5263000000.0,11875000000,10159000000,-1213000000,8946000000,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/0001193125-09-214859-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312509214859/d10k.htm
12,2008-09-27,AAPL,USD,2008-11-05 00:00:00,2008-11-05 06:16:23,FY,4834000000,473000000,-368000000.0,516000000.0,7941000000,-785000000.0,-163000000,596000000.0,20598000000,538000000.0,9596000000,-1091000000.0,-220000000.0,-22965000000.0,0.0,0.0,-8189000000.0,1267000000.0,483000000.0,483000000.0,0.0,0.0,1116000000.0,0.0,2523000000.0,11875000000.0,9352000000,9596000000,-1199000000,8397000000,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/0001193125-08-224958-index.html,https://www.sec.gov/Archives/edgar/data/320193/000119312508224958/d10k.htm
13,2007-09-29,AAPL,USD,2007-11-15 00:00:00,2007-11-15 16:49:37,FY,3496000000,317000000,78000000.0,242000000.0,4619000000,-385000000.0,-76000000,1494000000.0,12657000000,254000000.0,5470000000,-735000000.0,0.0,-11719000000.0,0.0,0.0,-3249000000.0,863000000.0,365000000.0,365000000.0,0.0,0.0,739000000.0,0.0,2960000000.0,9352000000.0,6392000000,5470000000,-986000000,4484000000,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/0001047469-07-009340-index.html,https://www.sec.gov/Archives/edgar/data/320193/000104746907009340/a2181030z10-k.htm
14,2006-09-30,AAPL,USD,2006-12-29,2006-12-29 06:05:58,FY,1989000000,225000000,53000000.0,163000000.0,1222000000,-357000000.0,-105000000,1611000000.0,8038000000,-4000000.0,2220000000,0.0,0.0,-7280000000.0,8312000000.0,-58000000.0,0.0,0.0,318000000.0,-355000000.0,0.0,361000000.0,0.0,0.0,2901000000.0,6392000000.0,3491000000,2220000000,-657000000,1563000000,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465906084288/a06-25759_210k.htm
15,2005-09-24,AAPL,USD,2005-12-01,2005-11-30 21:22:48,FY,1335000000,179000000,52000000.0,42000000.0,2441000000,-121000000.0,-64000000,328000000.0,6816000000,504000000.0,2535000000,-260000000.0,0.0,-11470000000.0,0.0,0.0,-2556000000.0,17000000.0,543000000.0,543000000.0,0.0,0.0,543000000.0,0.0,522000000.0,3491000000.0,2969000000,2535000000,-260000000,2275000000,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm,https://www.sec.gov/Archives/edgar/data/320193/000110465905058421/a05-20674_110k.htm
16,2004-09-25,AAPL,USD,2004-12-03,2004-12-02 18:05:49,FY,276000000,150000000,20000000.0,33000000.0,845000000,-8000000.0,-45000000,297000000.0,4375000000,40000000.0,934000000,-176000000.0,0.0,-3270000000.0,0.0,0.0,-1488000000.0,-300000000.0,427000000.0,427000000.0,0.0,0.0,127000000.0,0.0,-427000000.0,2969000000.0,3396000000,934000000,-176000000,758000000,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm
17,2003-09-27,AAPL,USD,2003-12-19,2003-12-19 17:25:45,FY,69000000,113000000,-11000000.0,16000000.0,-200000000,-201000000.0,-11000000,243000000.0,3530000000,-8000000.0,289000000,-164000000.0,0.0,-2648000000.0,0.0,0.0,828000000.0,45000000.0,53000000.0,27000000.0,0.0,0.0,27000000.0,0.0,1144000000.0,3396000000.0,2252000000,289000000,-164000000,125000000,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm,https://www.sec.gov/Archives/edgar/data/320193/000104746903041604/a2124888z10-k.htm
18,2002-09-28,AAPL,USD,2002-12-19 00:00:00,2002-12-19 17:20:21,FY,65000000,114000000,-34000000.0,0.0,105000000,-99000000.0,-34000000,110000000.0,3730000000,48000000.0,90000000,-174000000.0,0.0,-4144000000.0,0.0,0.0,-252000000.0,11000000.0,105000000.0,105000000.0,0.0,0.0,105000000.0,0.0,-58000000.0,2252000000.0,2310000000,90000000,-174000000,-84000000,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/0001047469-02-007674-index.html,https://www.sec.gov/Archives/edgar/data/320193/000104746902007674/a2096490z10-k.htm
19,2001-09-29,AAPL,USD,2001-12-21,2001-12-21 00:00:00,FY,-25000000,100000000,-36000000.0,0.0,131000000,487000000.0,22000000,-356000000.0,3625000000,-65000000.0,185000000,-232000000.0,0.0,-4268000000.0,0.0,0.0,892000000.0,42000000.0,42000000.0,42000000.0,0.0,0.0,42000000.0,0.0,1119000000.0,2310000000.0,1191000000,185000000,-232000000,-47000000,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm,https://www.sec.gov/Archives/edgar/data/320193/000091205701544436/a2066171z10-k405.htm
20,2000-09-30,AAPL,USD,2000-12-14 00:00:00,2000-12-14 00:00:00,FY,786000000,84000000,163000000.0,0.0,758000000,-272000000.0,-13000000,345000000.0,3494000000,0.0,826000000,0.0,0.0,-4499000000.0,3331000000.0,-38000000.0,0.0,0.0,85000000.0,-116000000.0,0.0,0.0,0.0,0.0,-135000000.0,1191000000.0,1326000000,826000000,-107000000,719000000,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/0000912057-00-053623-index.html,https://www.sec.gov/Archives/edgar/data/320193/000091205700053623/a2032880z10-k.txt
21,1999-09-25,AAPL,USD,1999-12-22 00:00:00,1999-12-22 00:00:00,FY,601000000,85000000,-35000000.0,0.0,558000000,274000000.0,58000000,-93000000.0,2736000000,-228000000.0,798000000,0.0,0.0,0.0,0.0,0.0,-964000000.0,0.0,0.0,11000000.0,0.0,0.0,11000000.0,0.0,-155000000.0,1326000000.0,1481000000,798000000,-47000000,751000000,https://www.sec.gov/Archives/edgar/data/320193/000091205799010244/0000912057-99-010244-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000912057-99-010244.txt
22,1998-09-25,AAPL,USD,,,FY,309000000,111000000,1000000.0,0.0,572000000,80000000.0,359000000,-34000000.0,2178000000,-140000000.0,775000000,0.0,0.0,0.0,0.0,0.0,-543000000.0,0.0,0.0,41000000.0,0.0,0.0,19000000.0,0.0,251000000.0,1481000000.0,1230000000,775000000,-56000000,719000000,,
23,1997-09-26,AAPL,USD,1997-12-05 00:00:00,1997-12-05 00:00:00,FY,-1045000000,118000000,-7000000.0,0.0,-906000000,461000000.0,225000000,106000000.0,1606000000,508000000.0,188000000,0.0,0.0,0.0,0.0,0.0,-533000000.0,0.0,0.0,184000000.0,0.0,0.0,23000000.0,0.0,-322000000.0,1230000000.0,1552000000,188000000,-437000000,-249000000,https://www.sec.gov/Archives/edgar/data/320193/000104746997006960/0001047469-97-006960-index.html,https://www.sec.gov/Archives/edgar/data/320193/0001047469-97-006960.txt
24,1996-09-27,AAPL,USD,1996-12-19 00:00:00,1996-12-19 00:00:00,FY,-816000000,156000000,-439000000.0,0.0,-387000000,435000000.0,1113000000,374000000.0,2512000000,187000000.0,519000000,0.0,0.0,0.0,0.0,0.0,-119000000.0,0.0,0.0,39000000.0,-14000000.0,0.0,396000000.0,0.0,796000000.0,1552000000.0,756000000,519000000,-67000000,452000000,https://www.sec.gov/Archives/edgar/data/320193/000032019396000023/0000320193-96-000023-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000320193-96-000023.txt
25,1995-09-29,AAPL,USD,1995-12-19 00:00:00,1995-12-19 00:00:00,FY,424000000,127000000,73000000.0,0.0,366853000,-350000000.0,-687000000,-283000000.0,2899000000,-41000000.0,-240000000,0.0,0.0,0.0,0.0,0.0,-402000000.0,0.0,0.0,86000000.0,-58000000.0,0.0,195000000.0,0.0,-447000000.0,756000000.0,1203000000,-240000000,-159000000,-399000000,https://www.sec.gov/Archives/edgar/data/320193/000032019395000016/0000320193-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000320193-95-000016.txt
26,1994-09-30,AAPL,USD,1994-12-13 00:00:00,1994-12-13 00:00:00,FY,310178000,167958000,40800000.0,0.0,708947000,-199401000.0,418204000,139095000.0,2532147000,0.0,736995000,0.0,0.0,-312073000.0,473595000.0,-3737000.0,0.0,0.0,82081000.0,0.0,-56572000.0,0.0,0.0,0.0,527075000.0,1203488000.0,676413000,736995000,-159587000,577408000,https://www.sec.gov/Archives/edgar/data/320193/000032019394000016/0000320193-94-000016-index.html,https://www.sec.gov/Archives/edgar/data/320193/0000320193-94-000016.txt
27,1993-09-30,AAPL,USD,1993-09-30,1993-09-30,FY,86600000,166100000,19000000.0,0.0,-309700000,0.0,-926500000,0.0,1823200000,100000.0,-661800000,0.0,0.0,-1432000000.0,2153100000.0,-15200000.0,0.0,0.0,85300000.0,-273500000.0,-55600000.0,-48000000.0,0.0,0.0,0.0,0.0,498600000,-661800000,-213100000,-874900000,,
28,1992-09-30,AAPL,USD,1992-09-30,1992-09-30,FY,530400000,217200000,100900000.0,0.0,486400000,0.0,91600000,0.0,2132900000,-200000.0,883700000,0.0,0.0,-2121300000.0,1473000000.0,-69400000.0,0.0,0.0,157200000.0,-212600000.0,-57200000.0,0.0,0.0,0.0,0.0,0.0,604100000,883700000,-194900000,688800000,,
29,1991-09-30,AAPL,USD,1991-09-30,1991-09-30,FY,309800000,204400000,8000000.0,0.0,270200000,0.0,-316200000,0.0,1646500000,200000.0,128700000,0.0,0.0,-610700000.0,944500000.0,-57200000.0,0.0,0.0,257700000.0,-184700000.0,-56500000.0,100000.0,0.0,0.0,0.0,0.0,374700000,128700000,-218300000,-89600000,,
30,1990-09-30,AAPL,USD,1990-09-30,1990-09-30,FY,474900000,202700000,138900000.0,0.0,-22800000,0.0,119900000,0.0,1376300000,-100000.0,963900000,0.0,0.0,-1424400000.0,1172700000.0,-97500000.0,0.0,0.0,103500000.0,-569600000.0,-53800000.0,0.0,0.0,0.0,0.0,0.0,438300000,963900000,-224300000,739600000,,
31,1989-09-30,AAPL,USD,1989-09-30,1989-09-30,FY,454000000,124800000,111300000.0,0.0,-109000000,0.0,-13900000,0.0,1399100000,100000.0,507300000,0.0,0.0,-984700000.0,787400000.0,33200000.0,0.0,0.0,96000000.0,-12900000.0,-50300000.0,0.0,0.0,0.0,0.0,0.0,372400000,507300000,-239000000,268300000,,
